Date_Listened,Song_Name,Artist,Feature_Artists,Album,Duration,Genre,Subgenre,Tempo_BPM,Key_Signature,Album_Release_Date
2023/02/01,Twenty Eight,The Weeknd,,Trilogy,258,R&B,Alternative R&B,130,D# Minor,2012/11/13
2023/02/01,Bad Neighbors,K. Forest,,Welcome to the Wildfire,160,R&B,Contemporary R&B,120,D# Minor,2021/03/19
2023/02/01,Mask Off,Future,,FUTURE,204,Hip-Hop,Trap,150,D Major,2017/06/30
2023/02/01,Hold you up (feat. Annahstasia & Steven Bamidele),KayCyy,"Annahstasia, Steven Bamidele",Get Used To It ,236,Soul,Alternative Soul,200,A# Minor,2022/06/02
2023/02/01,Live For,The Weeknd,Drake,Kiss Land,222,R&B,Alternative R&B,76,C Major,2013/01/01
2023/02/01,Low Life (feat. The Weeknd),Future,The Weeknd,EVOL,313,Hip-Hop,Trap,144,G# Major,2016/04/13
2023/02/01,WAIT FOR U (feat. Drake & Tems),Future,"Drake, Tems",I NEVER LIKED YOU,189,Hip-Hop,Trap,83,C# Major,2022/04/29
2023/02/01,Remember,PLAZA,,Nocturnes,212,R&B,Alternative R&B,122,E Minor,2021/10/01
2023/02/01,Endless,Hiddenhillsforever,,Hell Of A Night,208,Hip-Hop,Trap,157,D Major,2021/05/07
2023/02/01,Too Many Times,Norman Perry,,XX2,200,R&B,Trap Soul,102,D Major,2018/10/02
2023/02/01,Hun43rd,A$AP Rocky,,TESTING,242,Hip-Hop,Experimental Hip-Hop,136,D Major,2018/05/25
2023/02/01,Get Even,PLAZA,,Nocturnes,200,R&B,Alternative R&B,155,F Minor,2021/10/01
2023/02/01,Thought It Was A Drought,Future,,DS2 (Deluxe),265,Hip-Hop,Trap,125,D Major,2015/07/17
2023/02/01,More 2 Us,TYuS,,More 2 Us,228,R&B,Trap Soul,74,F# Minor,2020/06/16
2023/02/01,"Fine Whine (feat. Joe Fox, Future & M.I.A.)",A$AP Rocky," Joe Fox, Future, M.I.A.",AT.LONG.LAST.A$AP,218,Hip-Hop,Psychadelic Hip-Hop,114,C# Major,2015/05/26
2023/02/01,R.I.P. 2 My Youth,The Neighbourhood,,Wiped Out!,205,Rock,Alternative Rock,94,G Minor,2015/10/30
2023/02/01,Why Can't I,Artie J,,I Hate Pretty Girls,204,R&B,Trap Soul,96,D# Minor,2020/02/16
2023/02/01,Remembrance,Lyfe Harris,,Remembrance,158,R&B,Trap Soul,194,D# Minor,2021/09/01
