"Artist","Current_Location","Spotify_Monthly_Listeners","Gender","Location_City","Location_State Province","Location_Country","Artist_PK"
"The Weeknd","Toronto, Ontario, Canada","104257338","M","Toronto"," Ontario"," Canada","1"
"K. Forest","Toronto, Ontario, Canada","413753","M","Toronto"," Ontario"," Canada","2"
"Future","Atlanta, Georgia, United States","45904432","M","Atlanta"," Georgia"," United States","3"
"KayCyy","Los Angeles, California, United States","509440","M","Los Angeles"," California"," United States","4"
"PLAZA","Montreal, Québec, Canada","941968","M","Montreal"," Québec"," Canada","5"
"Hiddenhillsforever","Atlanta, Georgia, United States","1895","M","Atlanta"," Georgia"," United States","6"
"Norman Perry","New Haven, Connecticut, United States","767738","M","New Haven"," Connecticut"," United States","7"
"A$AP Rocky","New York City, New York, United States","23991206","M","New York City"," New York"," United States","8"
"TYuS","Portland, Oregon, United States","162660","M","Portland"," Oregon"," United States","9"
"The Neighbourhood","Los Angeles, California, United States","32177817","M","Los Angeles"," California"," United States","10"
"Artie J","Grand Rapids, Michigan, United States","36211","M","Grand Rapids"," Michigan"," United States","11"
"Lyfe Harris","Atlanta, Georgia, United States","8671","M","Atlanta"," Georgia"," United States","12"
"Playboi Carti","Atlanta, Georgia, United States","16087381","M","Atlanta"," Georgia"," United States","13"
"PARTYNEXTDOOR","Toronto, Ontario, Canada","18024240","M","Toronto"," Ontario"," Canada","14"
"Black Atlass","Los Angeles, California, United States","1021513","M","Los Angeles"," California"," United States","15"
"FXXXXY","Dallas, Texas, United States","41572","M","Dallas"," Texas"," United States","16"
"Travis Scott","Los Angeles, California, United States","43871786","M","Los Angeles"," California"," United States","17"
"Isaiah Rashad","Los Angeles, California, United States","3754648","M","Los Angeles"," California"," United States","18"
"Lana Del Rey","Los Angeles, California, United States","40405290","F","Los Angeles"," California"," United States","19"
"Freddie Gibbs","Los Angeles, California, United States","3523030","M","Los Angeles"," California"," United States","20"
"Joe Trufant","Brevard, North Carolina, United States","58950","M","Brevard"," North Carolina"," United States","21"
"Tilladre","Toronto, Ontario, Canada","1834","M","Toronto"," Ontario"," Canada","22"
"LVNDVN","Jersey City, New Jersey, United States","49413","M","Jersey City"," New Jersey"," United States","23"
"Tone Stith","Camden, New Jersey, United States","733669","M","Camden"," New Jersey"," United States","24"
"Thouxanbanfauni","Atlanta, Georgia, United States","1670854","M","Atlanta"," Georgia"," United States","25"
"Che Ecru","Los Angeles, California, United States","490141","M","Los Angeles"," California"," United States","26"
"Alley","Nashville, Tennesse, United States","515","M","Nashville"," Tennesse"," United States","27"
"Pusha T","Norfolk, Virginia, United States","6773093","M","Norfolk"," Virginia"," United States","28"
"Era","Tuscon, Arizona, United States","71031","M","Tuscon"," Arizona"," United States","29"
"6LACK","Atlanta, Georgia, United States","15500627","M","Atlanta"," Georgia"," United States","30"
"Lil Yatchy","Atlanta, Georgia, United States","12231100","M","Atlanta"," Georgia"," United States","31"
"Trippie Redd","Southwest Ranches, Florida, United States","21490985","M","Southwest Ranches"," Florida"," United States","32"
"Bryson Tiller","Louisville, Kentucky, United States","16255894","M","Louisville"," Kentucky"," United States","33"
"Dreamville","Raleigh, North Carolina, United States","6770113","M","Raleigh"," North Carolina"," United States","34"
"Don Toliver","Los Angeles, California, United States","24331953","M","Los Angeles"," California"," United States","35"
"Trouble","Atlanta, Georgia, United States","330776","M","Atlanta"," Georgia"," United States","36"
"Drake","Toronto, Ontario, Canada","68689489","M","Toronto"," Ontario"," Canada","37"
"Destroy Lonely","Atlanta, Georgia, United States","3120692","M","Atlanta"," Georgia"," United States","38"
"Ken Carson","Atlanta, Georgia, United States","4181731","M","Atlanta"," Georgia"," United States","39"
"FRVRFRIDAY","Brampton, Ontario, Canada","734295","M","Brampton"," Ontario"," Canada","40"
"Robb Bank$","Fort Lauderdale, Florida, United States","396321","M","Fort Lauderdale"," Florida"," United States","41"
"SoFaygo","Los Angeles, California, United States","4263843","M","Los Angeles"," California"," United States","42"
"Yeat","Los Angeles, California, United States","11645500","M","Los Angeles"," California"," United States","43"
"Frank Ocean","Los Angeles, California, United States","23578174","M","Los Angeles"," California"," United States","44"
