"Song_Name","Artist","Feature_Artists","Album","Duration","Subgenre","Tempo_BPM","Key_Signature","Album_Release_Date"
":(failure(:","Lil Yatchy","","Let's Start Here","167","Psychadelic Rock","142","F Minor","2023-01-27"
"404","Lyfe Harris","","ENIGMA","156","Trap Soul","89","G Major","2022-02-18"
"A Broken Promise","Artie J","","Trap Girls Club","189","Trap Soul","138","C Minor","2021-01-10"
"A$AP Forever (feat. Moby)","A$AP Rocky","Moby","A$AP Forever (feat. Moby)","233","Experimental Hip-Hop","126","A# Minor","2018-04-05"
"After Dollars Interlude","Lyfe Harris","","Nothing New","148","Trap Soul","97","F Minor","2021-02-10"
"Again","PLAZA","","One","196","Alternative R&B","68","A Minor","2016-08-29"
"All Night","PLAZA","","One","201","Alternative R&B","113","A# Major","2016-08-29"
"AMERICAN MUSCLE","Thouxanbanfauni","","CLAIRVOYANCE","156","Vapor Trap","160","A# Minor","2020-07-21"
"Babushka Boi","A$AP Rocky","","Babushka Boi","187","Rap","135","A# Minor","2019-08-28"
"Backseat","Joe Trufant","","Fall Through 2","209","Contemporary R&B","102","D Minor","2020-04-10"
"Bad Neighbors","K. Forest","","Welcome to the Wildfire","160","Contemporary R&B","120","D# Minor","2021-03-19"
"Belong To The World","The Weeknd","","Kiss Land","307","Alternative R&B","121","F Minor","2013-01-01"
"Bentley Keys","Lyfe Harris","","Bentley Keys","145","Trap Soul","108","F Minor","2020-10-23"
"Between Us (feat. 21 Savage)","TYuS","21 Savage","Between Us (feat. 21 Savage)","263","Trap Soul","111","C# Major","2017-06-30"
"Blessed & Highly Favored","FXXXXY","","Do You Trust Me?","140","Trap","155","C Minor","2020-12-11"
"Blitz V2","SoFaygo","","Pink Heartz","221","Vapor Trap","148","C# Major","2022-11-11"
"Borrow","KayCyy","","Get Used To It","126","Vapor Trap","125","G# Major","2022-06-02"
"brand new","Alley","Lev, Svi","brand new","212","Trap Soul","134","E Minor","2022-01-28"
"Break From Toronto","PARTYNEXTDOOR","","PARTYNEXTDOOR","99","Trap Soul","117","A Major","2013-07-01"
"Bring It Back (with Mike WiLL Made-It feat. Drake)","Trouble","Mike WiLL Made-It, Drake","Edgewood (41E Edition)","255","Trap","152","F# Minor","2018-10-26"
"Cash Flow","TYuS","","Cash Flow","194","Trap Soul","99","G# Major","2015-11-24"
"Changes","A$AP Rocky","","TESTING","314","Experimental Hip-Hop","137","D# Major","2018-05-25"
"Chasing","Artie J","","I Hate Pretty Girls","218","Trap Soul","120","C# Minor","2020-02-16"
"Chemtrails Over The Country Club","Lana Del Rey","","Chemtrails Over The Country Club","271","Indie Pop","201","E Minor","2021-03-19"
"Coming Down","The Weeknd","","Trilogy","295","Alternative R&B","121","D Minor","2012-11-13"
"Crash","PLAZA","","Crash","231","Alternative R&B","118","G Minor","2022-02-25"
"Dan Marino Freestyle","Lyfe Harris","","Dan Marino Freestyle","155","Trap","94","F Minor","2021-06-23"
"Dark Hearted","Freddie Gibbs","","$oul $old $eparately","205","Rap","96","D# Minor","2022-09-30"
"Decisions","Lyfe Harris","","Decisions","168","Trap Soul","110","F# Minor","2020-02-17"
"Designer","Lyfe Harris","","Nothing New","198","Trap Soul","144","F# Minor","2021-02-10"
"DHL","Frank Ocean","","DHL","268","Experimental R&B","123","E Minor","2019-10-19"
"Diamond","Norman Perry","","XX2","134","Trap Soul","129","C# Minor","2018-10-02"
"Diet Coke","Pusha T","","It's Almost Dry","180","Rap","164","A# Minor","2022-04-22"
"Distorted Records","A$AP Rocky","","TESTING","140","Experimental Hip-Hop","136","C# Minor","2018-05-25"
"Doll House","Lyfe Harris","","Since We're Here","135","Trap Soul","108","G Major","2020-04-04"
"DOMINO","Thouxanbanfauni","","CLAIRVOYANCE","122","Vapor Trap","133","G Minor","2020-07-21"
"Don't Panic","Lyfe Harris","","Don't Panic","112","Trap Soul","108","A# Minor","2020-01-06"
"East Atlanta Love Letter (feat. Future)","6LACK","Future","East Atlanta Love Letter","246","Trap Soul","61","F Minor","2018-09-14"
"Emotion","Lyfe Harris","","Nothing New","214","Trap Soul","119","C# Minor","2021-02-10"
"Endless","Hiddenhillsforever","","Hell Of A Night","208","Trap","157","D Major","2021-05-07"
"Exchange","Bryson Tiller","","T R A P S O U L","194","Trap Soul","160","F# Major","2015-10-02"
"Excuse Me","A$AP Rocky","","AT.LONG.LAST.A$AP","238","Psychadelic Hip-Hop","122","G# Major","2015-05-26"
"Extra","Future","","SAVE ME","173","Trap","106","G# Minor","2019-06-07"
"FALLING","Che Ecru","","PREJECTION","134","Indie R&B","100","B Minor","2020-05-15"
"Fell In Luv (feat. Bryson Tiller)","Playboi Carti","Bryson Tiller","Die Lit","206","Vapor Trap","163","D Major","2018-05-11"
"Find Her","Lyfe Harris","","Nothing New","133","Trap Soul","89","F# Minor","2021-02-10"
"Fine Whine (feat. Joe Fox, Future & M.I.A.)","A$AP Rocky","Joe Fox, Future, M.I.A.","AT.LONG.LAST.A$AP","218","Psychadelic Hip-Hop","114","C# Major","2015-05-26"
"Flip","Future","","FUTURE","254","Trap","146","A Major","2017-06-30"
"Fly Gyal","Artie J","","Emotional Indulgence","180","Trap Soul","140","B Minor","2021-10-08"
"FREAK IN YOU","PARTYNEXTDOOR","","COLOURS 2","272","Contemporary R&B","87","C# Major","2017-06-02"
"Free","6LACK","","FREE 6LACK","263","Trap Soul","124","D Major","2016-11-18"
"Freestyle 2","Ken Carson","","X","138","Vapor Trap","96","C# Minor","2022-07-08"
"From The Garden (feat. Lil Uzi Vert)","Isaiah Rashad","Lil Uzi Vert","The House Is Burning","189","Southern Hip-Hop","142","F# Minor","2021-07-30"
"Full Speed Ahead","Lyfe Harris","","Nothing New","176","Trap Soul","154","G Minor","2021-02-10"
"FWM","Tone Stith","","FWM","196","Contemporary R&B","142","G Minor","2021-06-11"
"FWU","Artie J","","Trap Girls Club","201","Trap Soul","134","A# Minor","2021-01-10"
"Get Even","PLAZA","","Nocturnes","200","Alternative R&B","155","F Minor","2021-10-01"
"Glock Six - Bonus","6LACK","","FREE 6LACK","190","Trap Soul","83","B Minor","2016-11-18"
"Goin Back","SoFaygo","","Pink Heartz","210","Vapor Trap","124","F Minor","2022-11-11"
"Government Official","Future","","SAVE ME","150","Trap","145","C# Major","2019-06-07"
"Hamptons","Lyfe Harris","","Hamptons","168","Trap Soul","97","C# Minor","2020-09-24"
"Heartbreaker","Tilladre","","Heartbreaker","234","Alternative R&B","82","A Major","2020-08-28"
"Hell Yeah","SoFaygo","Ken Carson","Pink Heartz","168","Vapor Trap","142","A Major","2022-11-11"
"High For This","The Weeknd","","Trilogy","247","Alternative R&B","75","B Minor","2012-11-13"
"Hold Up","PLAZA","","One","182","Alternative R&B","127","D Minor","2016-08-29"
"Hold you up (feat. Annahstasia & Steven Bamidele)","KayCyy","Annahstasia, Steven Bamidele","Get Used To It","236","Alternative Soul","200","A# Minor","2022-06-02"
"Holy Ghost (feat. Joe Fox)","A$AP Rocky","Joe Fox","AT.LONG.LAST.A$AP","191","Psychadelic Hip-Hop","76","A# Minor","2015-05-26"
"House of Balloons / Glass Table Girls","The Weeknd","","Trilogy","405","Alternative R&B","89","C Major","2012-11-13"
"Hun43rd","A$AP Rocky","","TESTING","242","Experimental Hip-Hop","136","D Major","2018-05-25"
"I Want Her Too","Artie J","","Emotional Indulgence","172","Trap Soul","90","B Minor","2021-10-08"
"I Want You","Artie J","","I Hate Pretty Girls","187","Trap Soul","110","C# Major","2020-02-16"
"In Too Deep","Artie J","","Trap Girls Club","271","Trap Soul","152","A# Minor","2021-01-10"
"It's Lifted","Robb Bank$","Trippie Redd","It's Lifted","142","Vapor Trap","122","A# Minor","2022-03-14"
"It's Not Over","PLAZA","","Nocturnes","275","Alternative R&B","141","B Minor","2021-10-01"
"Karma","PLAZA","","SHADOW","305","Alternative R&B","121","F# Minor","2017-06-11"
"Kinda Like It","Black Atlass","","Pain & Pleasure","265","Alternative R&B","83","B Minor","2018-07-12"
"Kiss Land","The Weeknd","","Kiss Land","455","Alternative R&B","122","B Minor","2013-01-01"
"L$D","A$AP Rocky","","AT.LONG.LAST.A$AP","238","Alternative R&B","120","D Major","2015-05-26"
"Learn Ya","6LACK","","FREE 6LACK","215","Trap Soul","82","C Minor","2016-11-18"
"Let The Smokers Shine The Coupes","Pusha T","","It's Almost Dry","150","Rap","99","C# Major","2022-04-22"
"Lie To Me","Black Atlass","","Dream Awake","210","Alternative R&B","158","B Minor","2020-04-03"
"Like That","Norman Perry","","XX2","240","Trap Soul","90","B Minor","2018-10-02"
"Live For","The Weeknd","Drake","Kiss Land","222","Alternative R&B","76","C Major","2013-01-01"
"Locations","LVNDVN","","HYPRWRLD","219","Alternative R&B","92","B Minor","2019-04-12"
"Loft Music","The Weeknd","","Trilogy","363","Alternative R&B","172","F# Minor","2012-11-13"
"Long Time - Intro","Playboi Carti","","Die Lit","211","Vapor Trap","144","E Minor","2018-05-11"
